city,team
Los Angeles,Dodgers
Cincinnati,Reds
Toronto,Blue Jays
Pittsburgh,Pirates
Kansas City,Royals
Chicago,Cubs
Cleveland,Guardians
Tampa Bay,Rays
Philadelphia,Phillies
Seattle,Mariners
Arizona,Diamondbacks
San Francisco,Giants
Chicago,White Sox
Detroit,Tigers
New York,Mets
Baltimore,Orioles
Minnesota,Twins
Los Angeles,Angels
Miami,Marlins
Colorado,Rockies
Oakland,Athletics
Boston,Red Sox
Atlanta,Braves
Texas,Rangers
New York,Yankees
Houston,Astros
St. Louis,Cardinals
Milwaukee,Brewers
San Diego,Padres
Washington,Nationals
