team city,team,team key,stadium ID,stadium city,altitude
San Diego,Padres,SD,1,San Diego,14
New York,Mets,NYM,8,New York,13
Cleveland,Guardians,CLE,10,Cleveland,673
San Francisco,Giants,SF,13,San Francisco,8
Minnesota,Twins,MIN,14,Minneapolis,840
Tampa Bay,Rays,TB,18,St. Petersburg,41
Baltimore,Orioles,BAL,22,Baltimore,35
Oakland,Athletics,OAK,23,Oakland,13
Chicago,White Sox,CHW,25,Chicago,594
Chicago,Cubs,CHC,27,Chicago,599
Los Angeles,Angels,LAA,28,Anaheim,154
Pittsburgh,Pirates,PIT,29,Pittsburgh,724
Los Angeles,Dodgers,LAD,31,Los Angeles,501
Kansas City,Royals,KC,33,Kansas City,886
New York,Yankees,NYY,35,New York,11
St. Louis,Cardinals,STL,41,St. Louis,438
Toronto,Blue Jays,TOR,42,Toronto,268
Colorado,Rockies,COL,44,Denver,5211
Boston,Red Sox,BOS,50,Boston,16
Philadelphia,Phillies,PHI,51,Philadelphia,19
Washington,Nationals,WSH,53,Washington,23
Arizona,Diamondbacks,ARI,54,Phoenix,1059
Detroit,Tigers,DET,62,Detroit,602
Houston,Astros,HOU,63,Houston,20
Cincinnati,Reds,CIN,64,Cincinnati,489
Seattle,Mariners,SEA,65,Seattle,17
Atlanta,Braves,ATL,68,Atlanta,1050
Texas,Rangers,TEX,88,Arlington,549
Milwaukee,Brewers,MIL,92,Milwaukee,602
Miami,Marlins,MIA,93,Miami,6
